image1,image2,id
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03008Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03008Final_reg.nii.gz,0
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03009Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03009Final_reg.nii.gz,1
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03010Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/03010Final_reg.nii.gz,2
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04001Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04001Final_reg.nii.gz,3
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04006Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04006Final_reg.nii.gz,4
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04008Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04008Final_reg.nii.gz,5
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04010Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04010Final_reg.nii.gz,6
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04014Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/04014Final_reg.nii.gz,7
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/05001Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/05001Final_reg.nii.gz,8
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/05009Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/05009Final_reg.nii.gz,9
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/06003Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/06003Final_reg.nii.gz,10
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101002Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101002Final_reg.nii.gz,11
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101003Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101003Final_reg.nii.gz,12
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101005Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101005Final_reg.nii.gz,13
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101006Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101006Final_reg.nii.gz,14
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101007Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101007Final_reg.nii.gz,15
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101008Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101008Final_reg.nii.gz,16
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101009Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101009Final_reg.nii.gz,17
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101011Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101011Final_reg.nii.gz,18
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101013Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101013Final_reg.nii.gz,19
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101014Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101014Final_reg.nii.gz,20
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101015Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101015Final_reg.nii.gz,21
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101017Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101017Final_reg.nii.gz,22
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101019Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101019Final_reg.nii.gz,23
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101020Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101020Final_reg.nii.gz,24
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101021Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101021Final_reg.nii.gz,25
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101022Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101022Final_reg.nii.gz,26
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101023Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101023Final_reg.nii.gz,27
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101024Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101024Final_reg.nii.gz,28
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101027Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101027Final_reg.nii.gz,29
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101028Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101028Final_reg.nii.gz,30
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101030Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101030Final_reg.nii.gz,31
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101031Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101031Final_reg.nii.gz,32
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101032Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101032Final_reg.nii.gz,33
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101033Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101033Final_reg.nii.gz,34
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101034Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101034Final_reg.nii.gz,35
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101035Pre_target_Final.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Final/101035Final_reg.nii.gz,36
