image1,image2,id
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03008Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03008Post_reg.nii.gz,0
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03009Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03009Post_reg.nii.gz,1
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03010Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/03010Post_reg.nii.gz,2
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04001Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04001Post_reg.nii.gz,3
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04006Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04006Post_reg.nii.gz,4
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04008Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04008Post_reg.nii.gz,5
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04010Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04010Post_reg.nii.gz,6
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04014Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/04014Post_reg.nii.gz,7
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/05001Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/05001Post_reg.nii.gz,8
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/05009Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/05009Post_reg.nii.gz,9
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/06003Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/06003Post_reg.nii.gz,10
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101002Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101002Post_reg.nii.gz,11
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101003Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101003Post_reg.nii.gz,12
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101005Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101005Post_reg.nii.gz,13
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101006Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101006Post_reg.nii.gz,14
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101007Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101007Post_reg.nii.gz,15
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101008Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101008Post_reg.nii.gz,16
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101009Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101009Post_reg.nii.gz,17
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101011Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101011Post_reg.nii.gz,18
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101013Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101013Post_reg.nii.gz,19
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101014Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101014Post_reg.nii.gz,20
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101015Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101015Post_reg.nii.gz,21
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101017Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101017Post_reg.nii.gz,22
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101019Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101019Post_reg.nii.gz,23
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101020Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101020Post_reg.nii.gz,24
/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101021Pre_target_Post.nii.gz,/home/gridsan/nchutisilp/datasets/Mariia/Pre_Post/101021Post_reg.nii.gz,25
